SKU,Product Name,Description,Category,Price,Unit,Active,Staff Pick,QBO Item ID,Notes
AREPA-CHOC-4,Arepa de Choclo-4 Pack,Arepa de Choclo-4 Item Pack,Prepared Foods,4.83,ea,Yes,Yes,10,
AREPA-MAIZ-10,Arepa de Maiz-10 Pack,Arepa de Maiz-10 Item Pack,Prepared Foods,9.00,ea,Yes,Yes,11,
AREPA-BANDEJA,Arepa de Maiz Bandeja,Box of Twelve/10 Item Packs,Prepared Foods,3.25,ea,Yes,No,13,
BB-14,Blackberry-14,Blackberry-14oz Bag,Produce & Fruit,3.70,ea,Yes,Yes,19,
COFFEE-COL,Colombian Coffee,Colombian Coffee,Dairy & Beverages,25.00,ea,Yes,Yes,45,
ACHIRAS-HUILA,Achiras de Huila,50g x 54 units,Snacks & Sweets,1.50,ea,Yes,No,2,
